<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
EURUSD;D;200518;0;1.08187;1.0927;1.0798;1.09137
EURUSD;D;200519;0;1.09139;1.09761;1.09006;1.0926
EURUSD;D;200520;0;1.0925;1.0999;1.09239;0.9
EURUSD;D;200521;0;1.09782;1.10085;1.09358;1.0949
EURUSD;D;200522;0;1.09487;1.0956;1.08839;1.09
EURUSD;D;200524;0;1.0898;1.09083;1.0888;1.09077
EURUSD;D;200525;0;1.09079;1.09145;1.0869;1.09014
EURUSD;D;200526;0;1.09007;1.0996;1.0895;1.0978
EURUSD;D;200527;0;1.0978;1.10309;1.09324;1.10164
EURUSD;D;200528;0;1.10166;1.10936;1.099;1.10778
EURUSD;D;200529;0;1.10776;1.11452;1.1068;1.11069
EURUSD;D;200531;0;1.1105;1.1122;1.11014;1.1115
EURUSD;D;200601;0;1.11158;1.11541;1.1099;0.98
EURUSD;D;200602;0;1.11244;1.1196;1.1113;1.1184
EURUSD;D;200603;0;1.11831;1.12579;1.11776;1.12336
EURUSD;D;200604;0;1.12348;1.13627;1.1193;1.13353
EURUSD;D;200605;0;1.1334;1.1384;1.1276;1.12873
EURUSD;D;200607;0;1.1271;1.13198;1.1271;1.13152
EURUSD;D;200608;0;1.13157;1.13186;1.1266;1.1303
EURUSD;D;200609;0;1.13031;1.13638;1.1239;1.1331
EURUSD;D;200610;0;1.13316;1.14225;1.13205;1.13665
EURUSD;D;200611;0;1.13667;1.14037;1.1285;1.12865
EURUSD;D;200612;0;1.12876;1.13406;1.1211;1.12601
EURUSD;D;200614;0;1.1248;1.12587;1.1225;1.12514
EURUSD;D;200615;0;1.12514;1.13384;1.1225;1.13373
EURUSD;D;200616;0;1.13357;1.13534;1.1226;1.12631
EURUSD;D;200617;0;1.1265;1.12939;1.1205;1.12416
EURUSD;D;200618;0;1.1242;1.12614;1.1184;1.12072
EURUSD;D;200619;0;1.12072;1.12544;1.1166;1.1176
EURUSD;D;200621;0;1.119;1.1194;1.1167;1.11764
EURUSD;D;200622;0;1.11765;1.1281;1.1172;1.12778
EURUSD;D;200623;0;1.12776;1.13486;1.1231;1.13124
EURUSD;D;200624;0;1.13121;1.13258;1.1246;1.12497
EURUSD;D;200625;0;1.12495;1.12597;1.1189;1.12163
EURUSD;D;200626;0;1.1217;1.12394;1.11936;1.12176
EURUSD;D;200628;0;1.1224;1.12281;1.12155;1.12216
EURUSD;D;200629;0;1.12217;1.12879;1.1217;1.12466
EURUSD;D;200630;0;1.12458;1.1262;1.11885;1.1233
EURUSD;D;200701;0;1.12332;1.12752;1.11829;1.125
EURUSD;D;200702;0;1.12512;1.13027;1.12215;1.12372
EURUSD;D;200703;0;1.12377;1.12518;1.12178;1.12464
EURUSD;D;200705;0;1.1243;1.12495;1.12403;1.12465
EURUSD;D;200706;0;1.12457;1.13455;1.1245;1.13115
EURUSD;D;200707;0;1.13121;1.13326;1.12569;1.12736
EURUSD;D;200708;0;1.12741;1.13518;1.12606;1.13369
EURUSD;D;200709;0;1.13371;1.13706;1.12788;1.12871
EURUSD;D;200710;0;1.12882;1.1325;1.1253;1.12973
EURUSD;D;200712;0;1.1299;1.13174;1.1297;1.13086
EURUSD;D;200713;0;1.13073;1.13749;1.1299;1.13438
EURUSD;D;200714;0;1.13445;1.14116;1.13229;1.1408
EURUSD;D;200715;0;1.14106;1.1452;1.1389;1.14168
EURUSD;D;200716;0;1.1417;1.14418;1.1369;1.13878
EURUSD;D;200717;0;1.1387;1.14437;1.1376;1.14253
EURUSD;D;200719;0;1.1402;1.14457;1.1402;1.14412
EURUSD;D;200720;0;1.14417;1.14677;1.1401;1.14549
EURUSD;D;200721;0;1.14554;1.15423;1.1421;1.15341
EURUSD;D;200722;0;1.15333;1.16015;1.15049;1.15636
EURUSD;D;200723;0;1.1564;1.16272;1.15389;1.15945
EURUSD;D;200724;0;1.15952;1.16581;1.15796;1.1656
EURUSD;D;200726;0;1.1651;1.1656;1.1638;1.16487
EURUSD;D;200727;0;1.16497;1.17815;1.1648;1.17682
EURUSD;D;200728;0;1.17682;1.17737;1.1697;1.1718
EURUSD;D;200729;0;1.17181;1.18064;1.1712;1.17807
EURUSD;D;200730;0;1.17794;1.18764;1.17288;1.18717
EURUSD;D;200731;0;1.1872;1.19088;1.176;1.1771
EURUSD;D;200802;0;1.1779;1.17968;1.177;1.17802
